guidename,runtime,obs,df,sig,assymmetry,i,time,loss
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1540,1575813889.7574644,1.4616345297358446
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1550,1575813889.762559,2.146447553772198
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1560,1575813889.793803,5.880979661708162
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1570,1575813889.8048093,3.0562290187304164
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1580,1575813889.8335948,2.4712498266352334
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1590,1575813889.8377063,2.455003438606675
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1600,1575813889.8689494,1.6846146152439767
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1610,1575813889.8845706,2.115643961847133
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1620,1575813889.904701,2.3073284866201336
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1630,1575813889.9414103,2.3797781177987813
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1640,1575813889.9653454,2.158490010041225
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1650,1575813889.9774446,0.8754542841508095
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1660,1575813890.0045767,4.1178478581683535
